symbol,query_symbol,industry,category,subcategory,longName,exchange,primaryExchange
HRL,HRL,"Consumer, Non-cyclical",Food,Food-Meat Products,HORMEL FOODS CORP,SMART,NYSE
HSIC,HSIC,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Whsle Drug Dist,HENRY SCHEIN INC,SMART,NASDAQ
HST,HST,Financial,REITS,REITS-Hotels,HOST HOTELS & RESORTS INC,SMART,NASDAQ
HSY,HSY,"Consumer, Non-cyclical",Food,Food-Confectionery,HERSHEY CO/THE,SMART,NYSE
HUBB,HUBB,Industrial,Electronics,Electronic Compo-Misc,HUBBELL INC,SMART,NYSE
HUM,HUM,"Consumer, Non-cyclical",Healthcare-Services,Medical-HMO,HUMANA INC,SMART,NYSE
HWM,HWM,Industrial,Aerospace/Defense,Aerospace/Defense-Equip,HOWMET AEROSPACE INC,SMART,NYSE
IBM,IBM,Technology,Computers,Computer Services,INTL BUSINESS MACHINES CORP,SMART,NYSE
ICE,ICE,Financial,Diversified Finan Serv,Finance-Other Services,INTERCONTINENTAL EXCHANGE IN,SMART,NYSE
IDXX,IDXX,"Consumer, Non-cyclical",Healthcare-Products,Diagnostic Kits,IDEXX LABORATORIES INC,SMART,NASDAQ
IEX,IEX,Industrial,Machinery-Diversified,Machinery-General Indust,IDEX CORP,SMART,NYSE
IFF,IFF,Basic Materials,Chemicals,Chemicals-Specialty,INTL FLAVORS & FRAGRANCES,SMART,NYSE
INCY,INCY,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,INCYTE CORP,SMART,NASDAQ
INTC,INTC,Technology,Semiconductors,Electronic Compo-Semicon,INTEL CORP,SMART,NASDAQ
INTU,INTU,Technology,Software,Applications Software,INTUIT INC,SMART,NASDAQ
INVH,INVH,Financial,REITS,REITS-Apartments,INVITATION HOMES INC,SMART,NYSE
IP,IP,Basic Materials,Forest Products&Paper,Paper&Related Products,INTERNATIONAL PAPER CO,SMART,NYSE
IQV,IQV,"Consumer, Non-cyclical",Healthcare-Services,Medical Labs&Testing Srv,IQVIA HOLDINGS INC,SMART,NYSE
IR,IR,Industrial,Machinery-Diversified,Machinery-Pumps,INGERSOLL-RAND INC,SMART,NYSE
IRM,IRM,Financial,REITS,REITS-Storage,IRON MOUNTAIN INC,SMART,NYSE
ISRG,ISRG,"Consumer, Non-cyclical",Healthcare-Products,Medical Instruments,INTUITIVE SURGICAL INC,SMART,NASDAQ
IT,IT,Technology,Computers,Computer Services,GARTNER INC,SMART,NYSE
